Device,Predicted_Instability_Prob,Risk_Tier,Top_Driver,Anomaly,Voc_V_Reverse,Jsc_mAcm2_Reverse,FF_Reverse,Rs_ohm_cm2_Reverse,Rsh_ohm_cm2_Reverse,Delta_PCE,Hysteresis_Index,Regime,PCA1,PCA2,Risk_Base,Risk_Rs_plus20,DeltaRisk_Rs_plus20,Risk_DeltaPCE_plus20,DeltaRisk_DeltaPCE_plus20,Risk_Hyst_plus20,DeltaRisk_Hyst_plus20,Risk_Jsc_minus10,DeltaRisk_Jsc_minus10,Risk_Voc_minus10mV,DeltaRisk_Voc_minus10mV
device056,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.60523598584344,19.560435165020067,0.552655859922176,8.178893907076574,212.884451325194,0.8839151130815273,0.1350991216908198,0,-1.0927880907657497,-0.22795779442408823,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device049,0.9999998445577069,High,Rsh_ohm_cm2_Reverse,0,0.356543946161512,0.0099131730738122,0.2739317202532332,30311.13700526791,36017.45075847351,0.0002248149954332,0.2321973161107733,2,0.5331250764789868,-1.94910382908786,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device050,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,1.219799995,7.491678802096729e-06,0.8850785895969462,540345431.2095546,25227113.65394985,-1.641607294239995e-07,-0.0202964302966807,1,3.5170565798335116,0.6471480980653727,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device047,0.9999998445577069,High,Rs_ohm_cm2_Reverse,0,0.0125140918152733,0.0220792949647344,0.0772557282894838,537.0249061257268,537.0045735452362,1.27847265e-05,0.5989302001744379,2,0.43769685833235733,-2.72919336134776,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device024,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.798585151212195,17.89539818749865,0.4310014627357839,15.80236977730164,110.523446844863,1.078814529548917,0.1751481062182944,0,-1.0662712780248227,0.021292257388165967,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device012,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.7030096425020204,0.0082092561415579,0.4674940931263858,27673.39819017305,315932.9273566646,0.0004041677194643,0.1498029644084386,2,0.6392470968062386,-1.1641591585887245,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device041,0.9999998427591572,High,Jsc_mAcm2_Reverse,0,0.0252393840867427,12.675115131049155,0.2481628200776228,1.9917417518853624,1.9908003993054453,0.00626333101305,0.0788929114092068,2,-0.31673506114834726,-2.01081811528192,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device048,0.9999998427591572,High,Rs_ohm_cm2_Reverse,1,1.219799995,4.252850982455266e-06,1.131770044755947,1458818630.6078396,73000513.80284885,5.325505152558e-06,0.9070554172189558,1,8.413369688199897,1.8035174369016387,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device052,0.9999998427591572,High,Rs_ohm_cm2_Reverse,0,0.5854038467116336,0.0081790950885536,0.3768492490073778,20439786.29618627,319832.4642146441,-0.0004972538303529,-0.2755812425272344,2,0.668107277598529,-1.4322237119549162,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
device088,0.9999998427591572,High,Rsh_ohm_cm2_Reverse,0,0.9479585638751477,14.493581238339887,0.3691051315088652,58.79502627640774,1826.450341042094,1.095520458023283,0.2160256624395502,0,-0.8378380404015061,0.11152452375587343,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
