voltage,current,HTL
-9.739999771,1652.95527,NiOx
-9.760000229,1652.956502,NiOx
-9.779999733,1652.955639,NiOx
-9.800000191,1652.954531,NiOx
-9.819999695,1652.955516,NiOx
-9.840000153,1652.956009,NiOx
-9.859999657,1652.955516,NiOx
-9.880000114,1652.955886,NiOx
-9.899999619,1652.956502,NiOx
-9.920000076,1652.956009,NiOx
-9.93999958,1652.956255,NiOx
-9.960000038,1652.955393,NiOx
-9.979999542,1652.955639,NiOx
-10.0,1652.956625,NiOx
2.0,-747.2380626,PEDOT
1.980000019,-733.014658,PEDOT
1.960000038,-718.5601622,PEDOT
1.940000057,-703.9046854,PEDOT
1.919999957,-689.3272858,PEDOT
1.899999976,-674.3763104,PEDOT
1.879999995,-659.3261992,PEDOT
