MeasuredVoltage,MeasuredCurrent,StressMode,StressVoltage,StressDuration_s,HTL,Electrode,Type,Week,SourceFile,TimeIndex,AbsCurrent,LogAbsCurrent
1.159999967,-29.98162511,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,68.0,29.98162511,1.4768551694599468
1.179999948,-29.97990587,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,69.0,29.97990587,1.4768302649442333
1.200000048,-29.97971056,constant,0.8,3600,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_1h_0p8V.csv,70.0,29.97971056,1.4768274356381
-0.200000003,20.48032883,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,0.0,20.48032883,1.3113369253673821
-0.180000007,20.48562857,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,1.0,20.48562857,1.311449294172914
-0.159999996,20.4830209,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,2.0,20.4830209,1.311394008157497
-0.140000001,20.47782069,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,3.0,20.47782069,1.3112837358861231
-0.119999997,20.47585423,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,4.0,20.47585423,1.3112420291172353
-0.100000001,20.47122593,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,5.0,20.47122593,1.3111438514131744
-0.079999998,20.46789014,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,6.0,20.46789014,1.3110730772816348
-0.059999999,20.4633664,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,7.0,20.4633664,1.3109770804570298
-0.039999999,20.4587507,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,8.0,20.4587507,1.3108791103034512
-0.02,20.45491227,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,9.0,20.45491227,1.3107976211943384
0.0,20.45107887,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,10.0,20.45107887,1.3107162236080523
0.02,20.44488976,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,11.0,20.44488976,1.3105847731775415
0.039999999,20.44137634,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,12.0,20.44137634,1.3105101339860559
0.059999999,20.43728217,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,13.0,20.43728217,1.3104231411389498
0.079999998,20.43266522,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,14.0,20.43266522,1.3103250193626959
0.100000001,20.42891119,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,15.0,20.42891119,1.3102452204581188
0.119999997,20.42460413,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,16.0,20.42460413,1.3101536478047784
0.140000001,20.41992292,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,17.0,20.41992292,1.310054098424371
0.159999996,20.41633392,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,18.0,20.41633392,1.309977760237666
0.180000007,20.41215913,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,19.0,20.41215913,1.3098889453865221
0.200000003,20.40796293,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,20.0,20.40796293,1.309799656750461
0.219999999,20.40240116,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,21.0,20.40240116,1.3096812826026527
0.239999995,20.39820874,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,22.0,20.39820874,1.3095920317369132
0.25999999,20.39387901,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,23.0,20.39387901,1.309499838473081
0.280000001,20.3887317,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,24.0,20.3887317,1.3093902109478937
0.300000012,20.38463376,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,25.0,20.38463376,1.3093029131388951
0.319999993,20.37957715,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,26.0,20.37957715,1.3091951687335814
0.340000004,20.37563416,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,27.0,20.37563416,1.309111134385609
0.360000014,20.36869927,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,28.0,20.36869927,1.3089632961840727
0.379999995,20.36278856,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,29.0,20.36278856,1.3088372517456404
0.400000006,20.35692194,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,30.0,20.35692194,1.3087121113318387
0.419999987,20.35137278,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,31.0,20.35137278,1.3085937094386333
0.439999998,20.34604532,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,32.0,20.34604532,1.3084800075576943
0.460000008,20.3402102,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,33.0,20.3402102,1.3083554367215677
0.479999989,20.335917,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,34.0,20.335917,1.3082637606843004
0.5,20.32748302,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,35.0,20.32748302,1.3080836069821986
0.519999981,20.32077111,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,36.0,20.32077111,1.3079401840694675
0.540000021,20.31426832,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,37.0,20.31426832,1.3078011845322426
0.560000002,20.30604598,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,38.0,20.30604598,1.3076253652654315
0.579999983,20.29560146,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,39.0,20.29560146,1.3074019261791894
0.600000024,20.28588002,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,40.0,20.28588002,1.3071938525616313
0.620000005,20.27233149,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,41.0,20.27233149,1.3069036991344256
0.639999986,20.25714782,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,42.0,20.25714782,1.3065782972533022
0.660000026,20.23901886,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,43.0,20.23901886,1.3061894551251854
0.680000007,20.21671008,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,44.0,20.21671008,1.305710483108741
0.699999988,20.19139304,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,45.0,20.19139304,1.3051662827449866
0.720000029,20.16711276,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,46.0,20.16711276,1.3046437265855988
0.74000001,20.11391762,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,47.0,20.11391762,1.3034966670899975
0.75999999,20.06404693,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,48.0,20.06404693,1.3024185349924533
0.779999971,19.98854553,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,49.0,19.98854553,1.3007811937758489
0.800000012,19.88896666,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,50.0,19.88896666,1.2986122197718195
0.819999993,19.75745333,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,51.0,19.75745333,1.295730964767248
0.839999974,19.58107426,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,52.0,19.58107426,1.2918365144756139
0.860000014,19.34771201,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,53.0,19.34771201,1.286629614329174
0.879999995,19.0423202,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,54.0,19.0423202,1.279719863644065
0.899999976,18.64431212,constant,0.8,54000,MeO2PACz,Ag,Type1,8,MeO2PACz_Ag_15h_0p8V.csv,55.0,18.64431212,1.2705463647654478
