voltage,current,HTL,Electrode,SourceFile
-0.359499991,0.021731782,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.379500002,0.023196564,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.399500012,0.02484903,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.419499993,0.026272273,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.439500004,0.027996699,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.459500015,0.029740035,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.479499996,0.031107216,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.499500006,0.032520716,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.519500017,0.033968612,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.539499998,0.03591501,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.559499979,0.037266256,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.57950002,0.038632002,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.5995,0.039908214,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.619499981,0.042045486,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.639500022,0.043647463,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.659500003,0.045342968,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.679499984,0.04710847,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.699500024,0.049270815,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.719500005,0.051767477,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.739499986,0.053719797,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.759500027,0.056024708,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.779500008,0.057879713,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.799499989,0.059767474,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.819500029,0.062139696,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.83950001,0.064231996,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.859499991,0.066931534,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.879499972,0.070126041,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.899500012,0.072685419,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.919499993,0.074741035,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.939499974,0.078089861,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.959500015,0.08106524,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.979499996,0.084314488,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-0.999499977,0.086842027,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.019500017,0.090491626,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.039499998,0.094176681,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.059499979,0.097765818,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.07949996,0.10177629,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.099499941,0.105042068,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.119500041,0.10833038,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.139500022,0.111527103,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.159500003,0.11569513,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.179499984,0.118724694,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.199499965,0.123545482,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.219499946,0.126396402,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.239500046,0.131167311,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.259500027,0.135189848,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.279500008,0.139650912,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.299499989,0.143143311,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.319499969,0.147109641,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.33949995,0.150739186,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.359500051,0.157955583,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.379500031,0.163206554,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.399500012,0.169340622,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.419499993,0.173776356,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.439499974,0.178631705,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.459499955,0.183812382,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.479500055,0.189293463,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.499500036,0.193988576,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
-1.519500017,0.201457782,MeO2PACz,Au,..\raw_csv\type3_breakdown_Au\MeO2PACz_Au_scan_20V.csv
