dark,0.1Sun
0.041782127,1.608400419
0.036960927,1.608051409
0.035560975,1.613149218
0.036854282,1.610185926
0.041424465,1.611430486
0.040732542,1.606050607
0.043041461,1.607989403
0.041852819,1.612207451
0.03742125,1.624513738
0.038610121,1.610869965
0.036919963,1.623069674
0.036933362,1.609224752
0.037701138,1.608356669
0.037460503,1.605729558
0.037184899,1.625829021
0.037958159,1.605098315
0.039604292,1.60747954
0.03685496,1.60898561
0.037318306,1.624516041
0.038340901,1.60725224
0.039867229,1.610407635
0.047580988,1.608202888
0.044096772,1.606662608
0.04428593,1.603312807
0.046115383,1.603653593
0.041501898,1.603869544
0.043915375,1.608574101
0.043760324,1.628949712
0.035247404,1.624357819
0.03829437,1.607889075
0.03614466,1.601371873
0.037329331,1.606507511
0.037296444,1.626808122
0.037336116,1.609206167
0.034607461,1.607912595
0.034326844,1.608783967
0.037242888,1.603425964
0.038512856,1.609873594
0.036914908,1.608831006
0.035848148,1.607112603
0.035973532,1.606285638
0.036310031,1.601721376
0.037064436,1.60866308
0.048047929,1.606917704
0.047346127,1.607080202
0.044220106,1.605066078
0.041775463,1.612454817
0.040785797,1.606896158
0.041490392,1.608193842
0.041444641,1.602966429
0.043277625,1.605780709
0.040535787,1.60644863
0.042748765,1.609126891
0.040332857,1.608118185
0.044302969,1.609372941
0.042934284,1.608417524
0.043601691,1.606456853
0.037292237,1.610519969
0.037016698,1.606920664
0.038031963,1.606280375
0.041795837,1.607610953
0.035593622,1.626313226
0.037755375,1.604114937
0.037961297,1.603756223
0.035727415,1.611680154
0.038030742,1.612387877
0.034573976,1.607830359
0.038144408,1.610715197
0.040078639,1.606832672
0.03682597,1.604738285
0.039047174,1.602715774
0.039658252,1.606950927
0.042766289,1.608070159
0.043058802,1.609456493
0.040166573,1.608409136
0.040319128,1.606222152
0.041921193,1.6085042
0.04070748,1.610368161
0.041083419,1.60803562
0.039406106,1.607196484
0.034619768,1.608236769
0.033860859,1.611269468
0.034241879,1.606989249
0.035820486,1.604330559
0.037274161,1.612670769
0.059566585,1.614225358
0.036070177,1.616177147
0.033860599,1.608665383
0.033035549,1.609116036
0.033095334,1.609779187
0.038906574,1.608310781
0.04033793,1.603310011
0.034661166,1.609188897
0.032353732,1.608446964
0.034495885,1.60573992
0.035481483,1.604564603
0.03277897,1.606196987
0.032353314,1.607074774
0.033421631,1.608134467
0.037408267,1.611204666
0.030349811,1.611592491
0.030516542,1.60545489
0.031636984,1.608225585
0.030646233,1.608407984
0.030578684,1.610054349
0.03168556,1.611448413
0.031420172,1.610927859
0.031327785,1.603897834
0.030310762,1.626664538
0.031119378,1.610401878
0.033270998,1.61014267
0.032917052,1.61210811
0.030807521,1.609917179
0.030229479,1.613386058
0.030684751,1.609162911
0.03341386,1.612195609
0.032418301,1.606863921
0.029813023,1.60816473
0.030739484,1.610880985
0.032012553,1.603723987
0.032882618,1.608351241
0.035149972,1.612343799
0.035843892,1.611107134
0.032685102,1.612670276
0.0340014,1.611788048
0.034534664,1.611140851
0.034225832,1.605508672
0.037270923,1.605693374
0.034080591,1.608698113
0.033339213,1.606674121
0.033857636,1.610337734
0.035684706,1.602230746
0.031897495,1.626151879
0.033253086,1.610927202
0.035704669,1.607808155
0.035078979,1.604065431
0.030599708,1.609097122
0.032237397,1.609666688
0.031103604,1.611940842
0.035013327,1.609156661
0.036498617,1.610732631
0.03550407,1.606426097
0.035569155,1.604660655
0.034073914,1.609897936
0.034881603,1.609453368
0.036262622,1.606377413
0.0334341,1.610616185
0.033509022,1.622431852
0.035367157,1.603804249
0.038457074,1.608078711
0.035880197,1.60969728
0.034260716,1.626041847
0.037956617,1.604693385
0.033787121,1.606231198
0.033450887,1.607974436
0.035633594,1.607054709
0.037523704,1.602580084
0.037314202,1.606577082
0.039738144,1.607885457
0.039342424,1.607276088
0.039797583,1.607523125
0.04119376,1.610025566
0.039003869,1.611790022
0.036003648,1.611859922
0.038091155,1.606534319
0.03805161,1.609441197
0.040099587,1.604058029
0.045870628,1.606383334
0.037266061,1.604557037
0.037085075,1.61042293
0.036713926,1.607373127
0.036782703,1.606738265
0.036263177,1.605029236
0.038895736,1.609741852
0.040733595,1.607635624
0.035462944,1.608484135
0.035492212,1.605147985
0.040237324,1.623715556
0.037224295,1.608294499
0.040936137,1.608523279
0.038685783,1.611846106
0.041483446,1.607680854
0.038916036,1.604594372
0.039109406,1.608616535
0.039906933,1.605192557
0.038666108,1.606723298
0.038097675,1.606764251
0.036254332,1.607784307
0.043551568,1.613025206
0.041017942,1.602636991
0.038372348,1.607935621
0.036357096,1.608427392
0.041012511,1.608824098
0.038941049,1.610111092
0.042391642,1.609868824
0.03981688,1.613281124
0.043393891,1.605309332
0.038778257,1.604355395
