voltage,meO2PACz,NiOx,PEDOT:PSS,PolyTPD,PTAA
-4.519499779,624.2026844,18.31373017,24.99893431,0.147133017,0.020162424
-4.539500237,629.7810142,20.058527,24.99900777,0.148507887,0.019850825
-4.559500217,634.7603419,21.93667293,24.99912681,0.147314059,0.019678431
-4.579500198,639.8328326,23.92885091,24.99937757,0.151371638,0.020094964
-4.599500179,644.7983059,26.14340118,24.99948395,0.14575517,0.02079665
-4.61950016,649.7663038,28.5202771,24.99900017,0.148956125,0.021881061
-4.639500141,654.5899082,31.10110302,24.99912681,0.153566,0.021350542
-4.659500122,659.5535958,33.92389922,24.99870889,0.151360543,0.021497394
-4.679500103,664.043094,36.91956955,24.99908882,0.150279583,0.021290995
-4.699500084,668.8224875,40.15628847,24.99879247,0.14977891,0.022042258
-4.719500065,673.3686348,43.6407907,24.99896217,0.150058042,0.021921825
-4.739500046,677.7631227,47.41354988,24.99933451,0.14611999,0.022668994
-4.759500027,682.3112403,51.44756563,24.99907109,0.148878104,0.022718266
-4.779500008,686.7658255,55.76922645,24.99917494,0.148877006,0.023474863
-4.799499989,691.3244109,60.32944209,24.99923319,0.145245372,0.023692459
-4.819499969,695.6807838,65.24300659,24.99872155,0.149296021,0.02408765
-4.83949995,700.0793972,70.51694328,24.99907109,0.150345006,0.024656806
-4.859499931,704.4994388,76.09682804,24.99935224,0.152379915,0.025907344
-4.879499912,708.8087684,82.02197616,24.99894445,0.152122565,0.026980393
-4.899499893,713.0634194,88.28205083,24.99895711,0.151949911,0.025703621
-4.919499874,717.3551385,94.91661363,24.99871902,0.158137437,0.024630661
-4.939499855,721.6895907,101.9215699,24.99897737,0.154573059,0.026705332
-4.959499836,726.1901109,109.3208643,24.99895711,0.154599713,0.026369563
-4.979499817,730.6080589,117.0662534,24.99895458,0.15327839,0.026565598
-4.999499798,735.0745896,125.3257198,24.99852399,0.154371166,0.027450078
-5.019499779,739.4036848,133.897592,24.99945355,0.150687502,0.02576395
-5.039500237,743.99041,142.8838141,24.99887099,0.15503164,0.025552238
-5.059500217,748.4619282,152.3075996,24.99912681,0.157646355,0.025234455
-5.079500198,752.9207005,162.0892405,24.99930158,0.158551535,0.02664911
-5.099500179,757.6588387,178.6380524,24.9991724,0.15739105,0.026399484
-5.11950016,762.2862035,190.4052386,24.99914454,0.163321662,0.026336644
-5.139500141,766.9256985,201.6581086,24.99905589,0.165973688,0.02728395
-5.159500122,771.66162,213.2735907,24.99907109,0.158791055,0.029438761
-5.179500103,776.7538148,225.286228,24.99907615,0.161245744,0.028136761
-5.199500084,781.49731,237.5755193,24.99883047,0.162233139,0.028129878
-5.219500065,786.7979363,250.2820699,24.99851385,0.162045814,0.029362151
-5.239500046,791.872028,263.430448,24.99940036,0.166687905,0.026661604
-5.259500027,797.0474722,276.8864675,24.9989951,0.166050913,0.026851893
-5.279500008,802.3575195,290.7515876,24.99900777,0.165868216,0.02769764
-5.299499989,807.6045755,304.9791658,24.99880007,0.170607691,0.030533697
-5.319499969,812.902123,319.4959284,24.99915721,0.172372051,0.02909311
-5.33949995,818.2130939,334.5710482,24.99911415,0.170020368,0.029271593
